hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 1.5868E-012, 176.92, 8.10922E-014, -61.1892, 2.27374E-013, 180
2, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 1.5868E-012, 176.92, 8.10922E-014, -61.1892, 2.27374E-013, 180
3, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 1.5868E-012, 176.92, 8.10922E-014, -61.1892, 2.27374E-013, 180
4, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 1.5868E-012, 176.92, 8.10922E-014, -61.1892, 2.27374E-013, 180
5, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 1.5868E-012, 176.92, 8.10922E-014, -61.1892, 2.27374E-013, 180
6, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 1.5868E-012, 176.92, 8.10922E-014, -61.1892, 2.27374E-013, 180
7, 0.00000, 219.377, -0.00408859, 219.377, -120.004, 219.377, 119.996, 7.61315, -179.991, 7.61315, 60.009, 7.61315, -59.991
8, 0.00000, 219.393, 0.000277896, 219.393, -120, 219.393, 120, 15.189, -179.974, 15.189, 60.0264, 15.189, -59.9736
9, 0.00000, 219.393, 0.000399357, 219.393, -120, 219.393, 120, 21.8271, -179.962, 21.8271, 60.038, 21.8271, -59.962
10, 0.00000, 219.394, 0.000649082, 219.394, -119.999, 219.394, 120.001, 35.473, -179.938, 35.473, 60.0618, 35.473, -59.9382
11, 0.00000, 219.377, -0.00321726, 219.377, -120.003, 219.377, 119.997, 55.2231, -179.908, 55.2231, 60.092, 55.2231, -59.908
12, 0.00000, 219.377, -0.0031175, 219.377, -120.003, 219.377, 119.997, 60.672, -179.899, 60.672, 60.1015, 60.672, -59.8985
13, 0.00000, 219.378, -0.00305019, 219.378, -120.003, 219.378, 119.997, 64.3481, -179.892, 64.3481, 60.1079, 64.3481, -59.8921
14, 0.00000, 219.394, 0.00117764, 219.394, -119.999, 219.394, 120.001, 64.3466, -179.888, 64.3466, 60.112, 64.3466, -59.888
15, 0.00000, 219.394, 0.00119269, 219.394, -119.999, 219.394, 120.001, 65.1681, -179.886, 65.1681, 60.1135, 65.1681, -59.8865
16, 0.00000, 219.394, 0.00115885, 219.394, -119.999, 219.394, 120.001, 63.3201, -179.89, 63.3201, 60.1103, 63.3201, -59.8897
17, 0.00000, 219.377, -0.00330387, 219.377, -120.003, 219.377, 119.997, 50.4923, -179.916, 50.4923, 60.0837, 50.4923, -59.9163
18, 0.00000, 219.377, -0.00368553, 219.377, -120.004, 219.377, 119.996, 29.6409, -179.953, 29.6409, 60.0474, 29.6409, -59.9526
19, 0.00000, 219.378, -0.00301363, 219.378, -120.003, 219.378, 119.997, 66.3447, -179.889, 66.3447, 60.1114, 66.3447, -59.8886
20, 0.00000, 219.378, -0.00301442, 219.378, -120.003, 219.378, 119.997, 66.3017, -179.889, 66.3017, 60.1113, 66.3017, -59.8887
21, 0.00000, 219.378, -0.0029621, 219.378, -120.003, 219.378, 119.997, 69.159, -179.884, 69.159, 60.1163, 69.159, -59.8837
22, 0.00000, 219.378, -0.00288387, 219.378, -120.003, 219.378, 119.997, 73.4307, -179.876, 73.4307, 60.1237, 73.4307, -59.8763
23, 0.00000, 219.376, -0.00422787, 219.376, -120.004, 219.376, 119.996, 1.68808E-012, -178.553, 8.10143E-013, 21.6148, 9.09495E-013, -90
24, 0.00000, 219.393, 1.93166E-008, 219.393, -120, 219.393, 120, 3.69636E-013, -162.087, 1.60751E-012, 37.9083, 1.43804E-012, -71.565
25, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 6.92816E-013, 179.412, 2.26818E-012, 77.7924, 9.09495E-013, -90
26, 0.00000, 219.393, 1.93668E-008, 219.393, -120, 219.393, 120, 6.92816E-013, 179.412, 2.26818E-012, 77.7924, 9.09495E-013, -90
27, 0.00000, 219.392, -0.00144252, 219.392, -120.001, 219.392, 119.999, 78.9069, -0.137452, 78.9069, -120.137, 78.9069, 119.863
28, 0.00000, 219.392, -0.00144249, 219.392, -120.001, 219.392, 119.999, 78.905, -0.137446, 78.905, -120.137, 78.905, 119.863
29, 0.00000, 219.392, -0.00144249, 219.392, -120.001, 219.392, 119.999, 78.905, -0.137446, 78.905, -120.137, 78.905, 119.863
30, 0.00000, 219.392, -0.00144249, 219.392, -120.001, 219.392, 119.999, 78.905, -0.137446, 78.905, -120.137, 78.905, 119.863
31, 0.00000, 219.377, -0.00408859, 219.377, -120.004, 219.377, 119.996, 7.61328, -179.991, 7.61328, 60.009, 7.61328, -59.991
32, 0.00000, 219.393, 0.000277887, 219.393, -120, 219.393, 120, 15.1885, -179.973, 15.1885, 60.0265, 15.1885, -59.9735
33, 0.00000, 219.393, 0.000399347, 219.393, -120, 219.393, 120, 21.8266, -179.962, 21.8266, 60.0381, 21.8266, -59.9619
34, 0.00000, 219.394, 0.000649083, 219.394, -119.999, 219.394, 120.001, 35.4731, -179.938, 35.4731, 60.0618, 35.4731, -59.9382
35, 0.00000, 219.377, -0.00321726, 219.377, -120.003, 219.377, 119.997, 55.2233, -179.908, 55.2233, 60.092, 55.2233, -59.908
36, 0.00000, 219.377, -0.00311752, 219.377, -120.003, 219.377, 119.997, 60.6708, -179.898, 60.6708, 60.1015, 60.6708, -59.8985
37, 0.00000, 219.378, -0.00305021, 219.378, -120.003, 219.378, 119.997, 64.3473, -179.892, 64.3473, 60.1079, 64.3473, -59.8921
38, 0.00000, 219.394, 0.00117764, 219.394, -119.999, 219.394, 120.001, 64.3465, -179.888, 64.3465, 60.112, 64.3465, -59.888
39, 0.00000, 219.394, 0.00119268, 219.394, -119.999, 219.394, 120.001, 65.1679, -179.886, 65.1679, 60.1135, 65.1679, -59.8865
40, 0.00000, 219.394, 0.00115886, 219.394, -119.999, 219.394, 120.001, 63.3205, -179.89, 63.3205, 60.1103, 63.3205, -59.8897
41, 0.00000, 219.377, -0.00330387, 219.377, -120.003, 219.377, 119.997, 50.4922, -179.916, 50.4922, 60.0837, 50.4922, -59.9163
42, 0.00000, 219.377, -0.00368553, 219.377, -120.004, 219.377, 119.996, 29.6409, -179.953, 29.6409, 60.0474, 29.6409, -59.9526
43, 0.00000, 219.378, -0.00301364, 219.378, -120.003, 219.378, 119.997, 66.3445, -179.889, 66.3445, 60.1114, 66.3445, -59.8886
44, 0.00000, 219.378, -0.00301442, 219.378, -120.003, 219.378, 119.997, 66.3017, -179.889, 66.3017, 60.1113, 66.3017, -59.8887
45, 0.00000, 219.378, -0.0029621, 219.378, -120.003, 219.378, 119.997, 69.159, -179.884, 69.159, 60.1163, 69.159, -59.8837
46, 0.00000, 219.378, -0.00288387, 219.378, -120.003, 219.378, 119.997, 73.4307, -179.876, 73.4307, 60.1237, 73.4307, -59.8763
47, 0.00000, 219.376, -0.00422787, 219.376, -120.004, 219.376, 119.996, 1.68808E-012, -178.553, 8.10143E-013, 21.6148, 9.09495E-013, -90
48, 0.00000, 219.393, 1.93166E-008, 219.393, -120, 219.393, 120, 3.69636E-013, -162.087, 1.60751E-012, 37.9083, 1.43804E-012, -71.565
